n_components,explained_var,cumulative_var,marginal_gain
465,0.000736,0.425503,0.000736
466,0.000736,0.426239,0.000736
467,0.000736,0.426974,0.000736
468,0.000736,0.427710,0.000736
469,0.000736,0.428445,0.000736
470,0.000736,0.429181,0.000736
471,0.000736,0.429916,0.000736
472,0.000736,0.430652,0.000736
473,0.000736,0.431388,0.000736
474,0.000736,0.432123,0.000736
475,0.000736,0.432859,0.000736
476,0.000736,0.433594,0.000736
477,0.000736,0.434330,0.000736
478,0.000736,0.435065,0.000736
479,0.000736,0.435801,0.000736
480,0.000736,0.436536,0.000736
481,0.000736,0.437272,0.000736
482,0.000736,0.438007,0.000736
483,0.000736,0.438743,0.000736
484,0.000736,0.439478,0.000736
485,0.000736,0.440214,0.000736
486,0.000736,0.440950,0.000736
487,0.000736,0.441685,0.000736
488,0.000736,0.442421,0.000736
489,0.000736,0.443156,0.000736
490,0.000736,0.443892,0.000736
491,0.000736,0.444627,0.000736
492,0.000736,0.445363,0.000736
493,0.000736,0.446098,0.000736
494,0.000736,0.446834,0.000736
495,0.000736,0.447569,0.000736
496,0.000736,0.448305,0.000736
497,0.000736,0.449040,0.000736
498,0.000736,0.449776,0.000736
499,0.000736,0.450512,0.000736
500,0.000736,0.451247,0.000736
