image_id,exact_match,relation_match,colour_overlap,size_overlap,object_overlap,total_attribute_overlap,gold_parse_ok,pred_parse_ok,semantic_match
9264,0,1,2,1,2,5,1,1,1
9907,0,1,2,2,2,6,1,1,1
5872,0,1,2,2,2,6,1,1,1
9992,0,1,2,1,2,5,1,1,0
3235,0,1,2,2,2,6,1,1,1
4775,0,1,2,0,2,4,1,1,0
4893,0,0,2,2,1,5,1,1,1
2127,0,1,2,1,2,5,1,0,0
6783,0,0,2,1,2,5,1,1,0
2842,0,0,1,1,1,3,1,1,0
2189,0,0,1,0,2,3,1,1,0
7916,0,1,2,1,2,5,1,1,0
84,0,0,1,2,2,5,1,1,1
6958,0,1,2,0,1,3,1,1,0
5737,0,1,2,1,2,5,1,1,0
6112,0,0,2,2,2,6,1,1,1
2331,0,0,2,0,2,4,1,1,0
8580,0,0,2,2,2,6,1,1,1
2948,0,0,2,1,2,5,1,1,1
1894,0,1,2,1,2,5,1,1,0
1407,0,0,2,1,2,5,1,1,0
8582,0,1,2,1,2,5,1,1,0
5939,0,0,2,1,2,5,1,1,0
7433,0,1,2,1,2,5,1,1,0
2827,0,1,2,2,2,6,1,1,1
5306,0,0,2,1,2,5,1,1,0
9664,0,0,2,1,2,5,1,1,0
9963,0,1,2,0,2,4,1,1,0
3261,0,0,2,1,2,5,1,1,0
1836,0,1,2,1,1,4,1,1,0
620,0,1,2,1,2,5,1,1,0
8427,0,1,2,2,1,5,1,1,0
8031,0,0,2,1,2,5,1,1,0
933,0,1,2,2,2,6,1,1,0
6056,0,0,2,1,2,5,1,1,0
5,0,1,2,1,1,4,1,1,0
9571,0,1,2,1,2,5,1,1,0
6261,0,1,2,1,1,4,1,1,0
2419,0,1,2,0,2,4,1,1,0
2325,0,1,2,2,2,6,1,1,1
3327,0,0,1,1,2,4,1,1,0
9775,0,0,2,2,2,6,1,1,1
1255,0,1,2,1,2,5,1,1,0
631,0,0,2,0,1,3,1,1,0
7583,0,0,2,1,2,5,1,1,0
3802,0,0,2,1,2,5,1,1,0
8221,0,0,2,0,1,3,1,1,0
8151,0,0,2,1,2,5,1,1,1
6196,0,1,2,2,2,6,1,1,1
8246,0,0,2,1,1,4,1,1,1
9425,0,0,2,1,2,5,1,1,0
16,0,0,2,0,1,3,1,1,0
3132,0,0,1,2,2,5,1,1,1
3496,0,0,2,1,2,5,1,1,0
714,0,1,2,1,2,5,1,1,1
5263,0,0,2,1,2,5,1,1,0
8153,0,0,2,1,1,4,1,1,1
7048,0,1,2,2,2,6,1,1,1
9945,0,0,1,2,2,5,1,1,1
1876,0,0,2,1,1,4,1,1,0
3762,0,1,2,1,2,5,1,1,0
9328,1,1,2,1,2,5,1,1,1
1947,0,0,2,1,2,5,1,1,0
4189,0,0,2,1,2,5,1,1,0
4890,0,1,2,0,2,4,1,1,0
279,0,1,2,1,2,5,1,1,1
8444,0,1,2,2,1,5,1,1,1
3345,0,0,2,1,2,5,1,1,0
3160,0,1,2,0,2,4,1,1,0
7498,0,0,2,1,1,4,1,1,1
5660,0,1,2,2,2,6,1,1,0
6129,0,0,2,1,2,5,1,1,0
1879,1,1,2,1,1,4,1,1,1
2702,0,0,2,2,2,6,1,1,0
7609,0,0,2,1,2,5,1,1,0
9787,0,1,2,1,2,5,1,1,0
5686,0,0,2,1,2,5,1,1,0
5883,1,1,2,2,2,6,1,1,1
7938,0,1,2,1,2,5,1,1,0
9322,0,0,2,1,1,4,1,1,0
8015,0,1,2,2,2,6,1,1,1
992,0,0,2,1,2,5,1,1,1
3047,0,1,2,2,2,6,1,1,1
6683,0,0,2,1,2,5,1,1,0
2881,0,1,2,2,1,5,1,1,0
6094,0,0,2,0,2,4,1,1,0
1696,0,0,2,0,2,4,1,1,0
2305,0,1,2,1,2,5,1,1,0
6158,0,0,2,0,1,3,1,1,0
429,0,1,2,1,2,5,1,1,0
2487,0,0,2,1,2,5,1,1,1
1659,0,0,2,1,2,5,1,1,1
4281,0,1,2,1,2,5,1,1,0
5245,1,1,2,1,2,5,1,1,1
7869,0,1,2,1,1,4,1,1,0
5603,0,0,2,1,2,5,1,1,0
8127,0,1,1,1,2,4,1,1,0
4097,0,0,2,1,2,5,1,1,0
5238,0,1,2,1,1,4,1,1,0
8732,0,0,2,2,2,6,1,1,1
2628,0,1,2,1,2,5,1,1,0
5738,0,0,2,0,2,4,1,1,0
1260,0,1,2,1,2,5,1,1,0
6066,1,1,2,2,2,6,1,1,1
3356,0,1,2,2,2,6,1,1,1
9354,0,1,2,1,2,5,1,1,1
5329,0,0,2,2,1,5,1,1,1
6808,0,1,2,0,2,4,1,1,0
